Source,Tags,Title,Status,URL,Example URL,License,Format,Comments,,
different sources,catalog,overview of different open energy data sets,,https://en.wikipedia.org/wiki/Open_energy_system_databases,,,,,,
,,,,,,,,,,
Footprintnetwork,CO2,World wide data about footprints of nations,,https://www.footprintnetwork.org/,,,,,,
,,,,,,,,,,
,,,,,,,,,,
OpenStreetMap,Karten,,,https://osm.ch/,,,,,,
OpenStreetMap,Karten,,,https://www.openstreetmap.org/,,,,,,
,,,,,,,,,,
Jasm SCCER,?,?,,https://data.sccer-jasm.ch/,,,,,,
,,,,,,,,,,
Swissgrid,Energieübersicht Schweiz,"Energieübersicht Schweiz: monatliche Daten zu Produktion, Verbrauch, Endverbrauch",,https://www.swissgrid.ch/de/home/operation/grid-data/generation.html,,,,Daten in XLS,,
Swissgrid,Netzkennzahlen,"Netzkennzahlen (Frequenz, Importe, Exporte, Wide Area Monitoring)",,https://www.swissgrid.ch/de/home/operation/grid-data/current-data.html,,,,Daten in XLS,,
Swissgrid,Uebertragung,"Uebertragung (Importe, Exporte, Verluste)",,https://www.swissgrid.ch/de/home/operation/grid-data/transmission.html,,,,Daten in XLS,,
Swissgrid,Netzdaten allg,Netzdaten allg,,https://www.swissgrid.ch/de/home/operation/grid-data.html,,,,,,
Swissgrid,Energie Tarife,Tarife und Vergütungssätze für das Uebertragungsnetz,,https://www.swissgrid.ch/de/home/customers/topics/tariffs.html,,,,PDF,,
Swissgrid,Frequenz,Frequenzstatistik 2003 bis 2018,,https://www.swissgrid.ch/de/home/customers/topics/frequency-statistic.html,,,,PDF,,
,,,,,,,,,,
Geoportal Kt. Aargau,Geographie,Onlinekarten,,https://www.ag.ch/de/dfr/geoportal/geoportal.jsp,,,,Nur onlinekarten > relevante Datensätze (siehe Zeile 78) liegen vor,,
Geoportal Kt. Aargau,Kadaster & Netze,"Agglomerationen und Einzelstädte CH, 1:2'000'000
Agglomerationsprogramm 1.Generation Verkehrslinien
Agglomerationsprogramme 1.Generation: Knoten, Haltestelle und ESP
Agglomerationsprogramme 1. Generation: Verkehrsmanagement
Aggloprogramme 2. Generation: Verkehr (Flächen)
Aggloprogramme 2. Generation: Verkehr (Linien)
Aggloprogramme 2. Generation: Verkehr (Punkte)
Aggloprogramme 3. Generation: Verkehr (Flächen)
Aggloprogramme 3. Generation: Verkehr (Linien)
Aggloprogramme 3. Generation: Verkehr (Punkte)
Bahnlinien
Buslinien
Gemeindegrenzen
Generalisierte Agglomerationenund städtische Kerne (1:300'000 bis 1:600'000)
Hochspannungsleitung (geplant) Richtplan
Kraftwerke
Nationalstrassen Anschluss/Halbanschluss Richtplan
Netz Kantonsstrassen undNationalstrassen
Netzgebietszuteilung NE7
Netzgebietszuteilung Punktuelle Ausnahmen
öV-Haltestellen
Park+Pool
Park+Ride (P+R)
Parkplätze
Radroutennetz, definitive Linienführung der kantonalen Radrouten (Richtplan)
Richtplan Gesamtkarte (TIFF)
Risikokataster (Mobile Risiken): Durchgangsstrassen
Risikokataster (Mobile Risiken): Eisenbahnen
Risikokataster (Mobile Risiken): Gasleitungen
Risikokataster (Mobile Risiken): Nationalstrassen
Risikokataster (Stationäre Risiken): Betriebsareale
Risikokataster (Stationäre Risiken): Chemiebetriebe
Schienennetz: Kilometrierungslinien (siehe unter GeoAdmin.ch ""Schienendaten"")
Schienennetz: Knoten (siehe unter GeoAdmin.ch ""Schienendaten"")
Schienennetz: Netzsegmente (siehe unter GeoAdmin.ch ""Schienendaten"")
Solarkataster
Solarpotenzial pro Gemeinde
Sonneneinstrahlung (TIFF)
Starkstromleitungen ab LK25
Strassennetz im EGM05-Raum
Strassennetz TomTom: Eisenbahn (Railways)
Strassennetz TomTom: Postleitzahlen
Strassennetz TomTom: Strassenlinien
Strassenverkehrszählungen/StrassenbelastungsplanMIV
Versorgungsrouten
Volkszählungsdaten 2012, Gesamtbevölkerung auf Hektarbasis
Volkszählungsdaten 2014, Statistik der Bevölkerung - Sammelhektare pro Gemeinde für Personen ohne Adresse
3D Gebäude
Gebäude ab Übersichtsplan 1:5000
Gebäude- und Wohnungsstatistik 2015 - Sammelhektare pro Gemeinde für nicht genau lokalisierbare Gebäude mit Wohnnutzung
Gebäude- und Wohnungsstatistik 2015 auf Hektarbasis
Gebäude- und Wohnungsstatistik 2016 - Sammelhektare pro Gemeinde für nicht genau lokalisierbare Gebäude mit Wohnnutzung
Gebäude- und Wohnungsstatistik 2016 auf Hektarbasis
",,https://www.ag.ch/geoportal/geodatenshop/download/Bestellung_15503_61694_131928858894705535.zip,,,,"Daten wurden ""beschafft"" und liegen als Shape File vor (SmartUse hat sie ""angepasst"")
zur Not können sie über den Hyperlink noch heruntergeladen werden",,
Geoportal Kt. Aargau,Gebäude,Gebäudeadressen GEOPOST,,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/CH/CH.zip,,,,ganze Schweiz,,
,,,,https://data.geo.admin.ch/ch.bfs.gebaeude_wohnungs_register/CSV/meta.txt,,,,Kantonale Kommunale Teil-Downloadliste,,
,,,,,,,,,,
EnergyMap,Stromproduktion,"Energiekarte, aktuelle Stromproduktion aus EE ",,http://www.energymap.info,,,,,,
EnergyMap,Energie Regionen,Energieregionen,,,,,,,,
EnergyMap,,"Downloadbereich / das amtliche Anlagenregister; Rohdaten Netzbetreiber aus D / Installierte PV Anlagen in Deutschland; inkl. Adresse (d.h. Geo-Codierbar) / Insgesamt >1 Mio. Datensätze
",,http://www.energymap.info/download.html,CSV,,,> 1mio Datensätze,,
,,,,,,,,,,
Electricitymap.org,Stromproduktion,"eine Karte, die für über 131 Regionen weltweit und in Echtzeit die Stromproduktion (inkl. Import und Export) und deren CO2-Intensität abbildet",,https://www.electricitymap.org,,,,,,
Electricitymap.org,,,,"https://api.electricitymap.org/
http://static.electricitymap.org/api/docs/index.html",,,,API Schnittstelle > wird hergestellt > Oleg?,,
Electricitymap.org,,Public Data / Flow Traced Data / Marginal Data,,https://data.electricitymap.org,,,,,,
Electricitymap.org,,"Schnittstelle zu Datenbasis von ElectricityMap und deren ""Datenpartnern""",,,,,,API Schnittstelle > wird hergestellt > Oleg?,,
,,,,,,,,,,
IEEE PES,consumption,"Consumption Data

Private Homes
Offices
Commercial
Water Heater
Refrigerator",,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
IEEE PES,Elektromobilitàt,"Electric Vehicles

Database with scenario",,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
IEEE PES,Power quality,Power Quality,,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
IEEE PES,Photovoltaik,PV Generation,,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
IEEE PES,Power reliabilityty,Reliability,,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
IEEE PES,wetter,Weather Data,,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
IEEE PES,Wind,"Wind based Generation (Data base includes the values of the wind speed, recorded with time intervals of 10min)",,http://sites.ieee.org/pes-iss/data-sets/,,,,,,
,,,,,,,,,,
NIALM (Non-instrusive Appliance Load Monitoring), Catalog energy consumption,"Public data sets on household energy consumption data into individual 
appliances, also known as Non-intrusive Appliance Load Monitoring (NIALM) or 
energy disaggregation

Almanac of Minutely Power Dataset
Berkeley Energy Disaggregation Dat Set
Controlled On/Off Loads library dataset
Dataport database
Dutch Residential Energy Dataset
Electricity Consumption & Occupancy data set
GREEND Dataset
Household Electricity Use Study
EDF Individual household electric power consumption data set
Smart Home Data Set
REFIT Electrical Load Measurements dataset
UK Domestic Appliance Level Electricity dataset",,http://blog.oliverparson.co.uk/2012/06/public-data-sets-for-nialm.html,,,,,,
,,,,,,,,,,
SwissRe,Catastrophes / re-insurance,"Sigma Explorer
- regional market structures and long-term premium growth trends in the global re/insurance industry
- interactive sigma explorer tool to visualise and share historical data about natural and man made catastrophes, the number of lives lost and world re/insurance premiums going as far back as 1970",,http://www.sigma-explorer.com/,,,,noch in Abklärung,,
SwissRe,Catastrophes / re-insurance,,,https://www.swissre.com/institute/research/sigma-research.html,,,,,,
,,,,,,,,,,
EnergyData.Info,Energy by country,Data Sets by Countries,,https://energydata.info/dataset,,,,,,
Data.gov.uk,Smart meter,different and various data sets,,https://data.gov.uk/search?q=smart+meter,,,,,,
OpenEi.org,Smart grid,different and various data sets,,https://openei.org/datasets/dataset?sectors=smartgrid ,,,,,,
