ID,Title,Description,Topic,Type,Link,Formats,Permissions,Organisation,Contact
1538,BFS Mikrozensus,Mobilität/Verkehr Mikrozensus 2015 Tabellenpakete,Mobilität,Dataset,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/verkehrsverhalten/tabellen-2015.html,,,Bundesamt für Statistik,
1536,BFS Pendlermobilität,Statistiken,Mobilität,Dataset,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/pendlermobilitaet.html,,,Bundesamt für Statistik,
1539,BFS Statistiken,Energie Importe/Exporte Stromerzeugung Enedenergieverbrauch nach Energieträgern Endverbraucherausgaben für Energie,Energiekennzahlen,Dataset,https://www.bfs.admin.ch/bfs/de/home/statistiken/energie.html,"GIS,XLS,JPG",,Bundesamt für Statistik,
1540,BFS Statistiken,Mobilität/Verkehr Personenverkehr Güterverkehr Verkehrsinfrastruktur und Fahrzeuge,Mobilität,Dataset,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr.html,"GIS,XLS,JPG",,Bundesamt für Statistik,
1657,Energiedashboard Schweiz,Open data managed by the BFS for the energy dashboard of BFE.,"Global,Strom,Wasser / Gasversorgung,Preise,Schweiz",Dataset,https://opendata.swiss/de/organization/bundesamt-fur-energie-bfe?q=energiedashboard,CSV/TSV,Open,Bundesamt für Energie BFE,ogd at bfe.admin.ch
1520,ARAMIS,"Research, innovation and evaluation projects funded or conducted by the Confederation. Hier haben Sie die Möglichkeit, die öffentliche Daten aus ARAMIS zu exportieren in den Formaten: Excel CSV JSON",Catalog,Dataset,https://www.aramis.admin.ch,"CSV,JSON,XLS",Open,Bund,
1591,Mikrozensus Verkehr und Mobilität (CH),,Mobilität,Dataset,https://www.bfs.admin.ch/bfs/de/home/statistiken/mobilitaet-verkehr/personenverkehr/verkehrsverhalten.assetdetail.1840477.html,XLS,,BFS,Matthias Eifert
1534,BFE Ladestellen,"Nationale Daten-Infrastruktur (DIEMO) für eine verbesserte Sichtbarkeit von Ladeinfrastruktur­informationen (z.B. Standort, Zugang, Stecker-Typen). Mit DIEMO wird erreicht, dass Daten zur Ladeinfrastruktur der Schweiz im Sinne von Open Data einheitlich, diskriminierungsfrei, in hoher Qualität und kostenlos zur Verfügung stehen. Durch die direkte Anbindung der Ladeinfrastrukturbetreiber an die Bundesgeodateninfrastruktur entsteht eine Datengrundlage von hoher Qualität und wird auch die Bereitstellung dynamischer Daten möglich (Verfügbarkeit der Ladestationen).",Mobilität,Dataset,  https://data.geo.admin.ch/ch.bfe.ladestellen-elektromobilitaet/data/ch.bfe.ladestellen-elektromobilitaet.json  ,,,BfE DIEMO,
1561,BFE Forschungsprogramm,Aktuelle Forschungsschwerpunkte  Aktuell stehen dabei folgende Themenblöcke im Vordergrund:      Energiekonsum und individuelles Verhalten     Unternehmen und Märkte     Energie- und umweltpolitische Massnahmen und Instrumente  Detailliertere Forschungsschwerpunkte werden in den EWG Ausschreibungen veröffentlicht. ,Forschung,Dataset,https://www.bfe.admin.ch/bfe/de/home/forschung-und-cleantech/forschungsprogramme/energie-wirtschaft-gesellschaft-ewg.html,,,BFE,"Martin Hertach, Matthias Galus"
1572,Energiedaten,Katalog aller Daten,Catalog,Dataset,http://www.bfe.admin.ch/geoinformation/05061/index.html?lang=de ,API,,BFE,
